,Season,Country,Winners,Runners-up,Country.1,Venue,Attend­ance,Notes,Winner_Goals,Runnersup_Goals
0,1955–56,Spain,Real Madrid,Reims,France,"Parc des Princes, Paris, France",38239,Match was won in regulation time,4,3
1,1956–57,Spain,Real Madrid,Fiorentina,Italy,"Santiago Bernabéu, Madrid, Spain",124000,Match was won in regulation time,2,0
2,1957–58,Spain,Real Madrid,AC Milan,Italy,"Heysel Stadium, Brussels, Belgium",67000,Match was won during extra time,3,2
3,1958–59,Spain,Real Madrid,Reims,France,"Neckarstadion, Stuttgart, West Germany",72000,Match was won in regulation time,2,0
4,1959–60,Spain,Real Madrid,Eintracht Frankfurt,West Germany,"Hampden Park, Glasgow, Scotland",127621,Match was won in regulation time,7,3
5,1960–61,Portugal,SL Benfica,FC Barcelona,Spain,"Wankdorf Stadium, Bern, Switzerland",26732,Match was won in regulation time,3,2
6,1961–62,Portugal,SL Benfica,Real Madrid,Spain,"Olympisch Stadion, Amsterdam, Netherlands",61257,Match was won in regulation time,5,3
7,1962–63,Italy,AC Milan,SL Benfica,Portugal,"Wembley Stadium, London, England",45715,Match was won in regulation time,2,1
8,1963–64,Italy,Inter Milan,Real Madrid,Spain,"Praterstadion, Vienna, Austria",71333,Match was won in regulation time,3,1
9,1964–65,Italy,Inter Milan,SL Benfica,Portugal,"San Siro, Milan, Italy",89000,Match was won in regulation time,1,0
10,1965–66,Spain,Real Madrid,Partizan,Yugoslavia,"Heysel Stadium, Brussels, Belgium",46745,Match was won in regulation time,2,1
11,1966–67,Scotland,Celtic FC,Inter Milan,Italy,"Estádio Nacional, Lisbon, Portugal",45000,Match was won in regulation time,2,1
12,1967–68,England,Manchester United,SL Benfica,Portugal,"Wembley Stadium, London, England",92225,Match was won during extra time,4,1
13,1968–69,Italy,AC Milan,AFC Ajax,Netherlands,"Santiago Bernabéu, Madrid, Spain",31782,Match was won in regulation time,4,1
14,1969–70,Netherlands,Feyenoord,Celtic FC,Scotland,"San Siro, Milan, Italy",53187,Match was won during extra time,2,1
15,1970–71,Netherlands,AFC Ajax,Panathinaikos,Greece,"Wembley Stadium, London, England",83179,Match was won in regulation time,2,0
16,1971–72,Netherlands,AFC Ajax,Inter Milan,Italy,"De Kuip, Rotterdam, Netherlands",61354,Match was won in regulation time,2,0
17,1972–73,Netherlands,AFC Ajax,Juventus,Italy,"Red Star Stadium, Belgrade, SFR Yugoslavia",89484,Match was won in regulation time,1,0
18,1973–74,West Germany,Bayern Munich,Atlético Madrid,Spain,"Heysel Stadium, Brussels, Belgium",48722,Match was won after a replay,4,0
20,1974–75,West Germany,Bayern Munich,Leeds United,England,"Parc des Princes, Paris, France",48374,Match was won in regulation time,2,0
21,1975–76,West Germany,Bayern Munich,Saint-Étienne,France,"Hampden Park, Glasgow, Scotland",54864,Match was won in regulation time,1,0
22,1976–77,England,Liverpool FC,Borussia Mönchengladbach,West Germany,"Stadio Olimpico, Rome, Italy",57000,Match was won in regulation time,3,1
23,1977–78,England,Liverpool FC,Club Brugge,Belgium,"Wembley Stadium, London, England",92500,Match was won in regulation time,1,0
24,1978–79,England,Nottingham Forest,Malmö FF,Sweden,"Olympiastadion, Munich, West Germany",57500,Match was won in regulation time,1,0
25,1979–80,England,Nottingham Forest,Hamburger SV,West Germany,"Santiago Bernabéu, Madrid, Spain",51000,Match was won in regulation time,1,0
26,1980–81,England,Liverpool FC,Real Madrid,Spain,"Parc des Princes, Paris, France",48360,Match was won in regulation time,1,0
27,1981–82,England,Aston Villa,Bayern Munich,West Germany,"De Kuip, Rotterdam, Netherlands",46000,Match was won in regulation time,1,0
28,1982–83,West Germany,Hamburger SV,Juventus,Italy,"Olympic Stadium, Athens, Greece",73500,Match was won in regulation time,1,0
29,1983–84,England,Liverpool FC,Roma,Italy,"Stadio Olimpico, Rome, Italy",69693,Match was won on a penalty shoot-out,1,1
30,1984–85,Italy,Juventus,Liverpool FC,England,"Heysel Stadium, Brussels, Belgium",58000,Match was won in regulation time,1,0
31,1985–86,Romania,Steaua București,FC Barcelona,Spain,"Ramón Sánchez Pizjuán, Seville, Spain",70000,Match was won on a penalty shoot-out,0,0
32,1986–87,Portugal,FC Porto,Bayern Munich,West Germany,"Praterstadion, Vienna, Austria",57500,Match was won in regulation time,2,1
33,1987–88,Netherlands,PSV Eindhoven,SL Benfica,Portugal,"Neckarstadion, Stuttgart, West Germany",68000,Match was won on a penalty shoot-out,0,0
34,1988–89,Italy,AC Milan,Steaua București,Romania,"Camp Nou, Barcelona, Spain",97000,Match was won in regulation time,4,0
35,1989–90,Italy,AC Milan,SL Benfica,Portugal,"Praterstadion, Vienna, Austria",57558,Match was won in regulation time,1,0
36,1990–91,Yugoslavia,Crvena Zvezda,Olympique Marseille,France,"Stadio San Nicola, Bari, Italy",56000,Match was won on a penalty shoot-out,0,0
37,1991–92,Spain,FC Barcelona,Sampdoria,Italy,"Wembley Stadium, London, England",70827,Match was won during extra time,1,0
38,1992–93,France,Olympique Marseille,AC Milan,Italy,"Olympiastadion, Munich, Germany",64400,Match was won in regulation time,1,0
39,1993–94,Italy,AC Milan,FC Barcelona,Spain,"Olympic Stadium, Athens, Greece",70000,Match was won in regulation time,4,0
40,1994–95,Netherlands,AFC Ajax,AC Milan,Italy,"Ernst-Happel-Stadion, Vienna, Austria",49730,Match was won in regulation time,1,0
41,1995–96,Italy,Juventus,AFC Ajax,Netherlands,"Stadio Olimpico, Rome, Italy",70000,Match was won on a penalty shoot-out,1,1
42,1996–97,Germany,Borussia Dortmund,Juventus,Italy,"Olympiastadion, Munich, Germany",59000,Match was won in regulation time,3,1
43,1997–98,Spain,Real Madrid,Juventus,Italy,"Amsterdam Arena, Amsterdam, Netherlands",48500,Match was won in regulation time,1,0
44,1998–99,England,Manchester United,Bayern Munich,Germany,"Camp Nou, Barcelona, Spain",90245,Match was won in regulation time,2,1
45,1999–2000,Spain,Real Madrid,Valencia CF,Spain,"Stade de France, Saint-Denis, France",80000,Match was won in regulation time,3,0
46,2000–01,Germany,Bayern Munich,Valencia CF,Spain,"San Siro, Milan, Italy",71500,Match was won on a penalty shoot-out,1,1
47,2001–02,Spain,Real Madrid,Bayer Leverkusen,Germany,"Hampden Park, Glasgow, Scotland",50499,Match was won in regulation time,2,1
48,2002–03,Italy,AC Milan,Juventus,Italy,"Old Trafford, Manchester, England",62315,Match was won on a penalty shoot-out,0,0
49,2003–04,Portugal,FC Porto,Monaco,France,"Arena AufSchalke, Gelsenkirchen, Germany",53053,Match was won in regulation time,3,0
50,2004–05,England,Liverpool FC,AC Milan,Italy,"Atatürk Olympic Stadium, Istanbul, Turkey",69000,Match was won on a penalty shoot-out,3,3
51,2005–06,Spain,FC Barcelona,Arsenal FC,England,"Stade de France, Saint-Denis, France",79610,Match was won in regulation time,2,1
52,2006–07,Italy,AC Milan,Liverpool FC,England,"Olympic Stadium, Athens, Greece",63000,Match was won in regulation time,2,1
